,Name,Postal_Code,Coordinates,Venue Type
15399,WEE GIP ANN,228231,"[1.31072557410011, 103.836318553503]",Eating Establishment
15400,YEO SIM HWA,228231,"[1.31072557410011, 103.836318553503]",Eating Establishment
15401,SEAH BOON HOWE JEFFREY,228231,"[1.31072557410011, 103.836318553503]",Eating Establishment
15402,CHEW WAH CHIN,228231,"[1.31072557410011, 103.836318553503]",Eating Establishment
15403,ONG KIAN TONG,228231,"[1.31072557410011, 103.836318553503]",Eating Establishment
15404,TAN POH CHUAN,228231,"[1.31072557410011, 103.836318553503]",Eating Establishment
15405,KOH AH TOW,228231,"[1.31072557410011, 103.836318553503]",Eating Establishment
15406,CHEONG SIEW KUM,149303,"[1.29559366049205, 103.807548624131]",Eating Establishment
15407,BIBJAN BTE ALI ZAMAN,149303,"[1.29559366049205, 103.807548624131]",Eating Establishment
15408,NABIHAH BINTE ELIAS,149303,"[1.29559366049205, 103.807548624131]",Eating Establishment
15409,Herbert B. Santa Maria,149303,"[1.29559366049205, 103.807548624131]",Eating Establishment
15410,CHIANG MENG TYE,149303,"[1.29559366049205, 103.807548624131]",Eating Establishment
15411,LIE MEI CEN,149303,"[1.29559366049205, 103.807548624131]",Eating Establishment
15412,CHAN TAI SENG,149303,"[1.29559366049205, 103.807548624131]",Eating Establishment
15413,TAN KIM CHOON,200638,"[1.30723342621978, 103.85534583569]",Eating Establishment
15414,TAN JUI KOON,200638,"[1.30723342621978, 103.85534583569]",Eating Establishment
15415,TEO LEE KIAN,200638,"[1.30723342621978, 103.85534583569]",Eating Establishment
15416,LIM CHOW SIONG,200638,"[1.30723342621978, 103.85534583569]",Eating Establishment
15417,AU TONG ANN,200638,"[1.30723342621978, 103.85534583569]",Eating Establishment
15418,SEOW SIEW HONG,179805,"[1.29194592832964, 103.849820399819]",Eating Establishment
15419,YEO GWANG KENG @ KOH ANG MOY,179805,"[1.29194592832964, 103.849820399819]",Eating Establishment
15420,SEE TOO TECK HENG (SITU DEXING),179805,"[1.29194592832964, 103.849820399819]",Eating Establishment
15421,CHEN XIAPING,179805,"[1.29194592832964, 103.849820399819]",Eating Establishment
15422,YAN NAUNG,179805,"[1.29194592832964, 103.849820399819]",Eating Establishment
15423,SHI YONGWEI,179805,"[1.29194592832964, 103.849820399819]",Eating Establishment
15424,WANG GAOFENG,179805,"[1.29194592832964, 103.849820399819]",Eating Establishment
15425,WANG'S FOOD PTE. LTD.,179805,"[1.29194592832964, 103.849820399819]",Eating Establishment
15426,LIM LYE HOCK,159086,"[1.29059449627243, 103.814542937974]",Eating Establishment
15427,INLAYOT DUANRAEM,159086,"[1.29059449627243, 103.814542937974]",Eating Establishment
15428,TAN SU TIANG,159086,"[1.29059449627243, 103.814542937974]",Eating Establishment
15429,ABDUL RAHIM BIN AHMAD ISMITH,159086,"[1.29059449627243, 103.814542937974]",Eating Establishment
15430,KWIK MOI GIK,159086,"[1.29059449627243, 103.814542937974]",Eating Establishment
15431,ONG YEA LIN,159086,"[1.29059449627243, 103.814542937974]",Eating Establishment
15432,MOK KIM CHYE,307606,"[1.31817016822095, 103.843888946132]",Eating Establishment
15433,FONG LIAN PIN,307606,"[1.31817016822095, 103.843888946132]",Eating Establishment
15434,TANG YONG SOON (CHEN YONGSHUN),307606,"[1.31817016822095, 103.843888946132]",Eating Establishment
15435,CU MR FOOD STATION PTE. LTD.,210043,"[1.31536302699791, 103.849434501824]",Eating Establishment
15436,CHEE LYE LING,210043,"[1.31536302699791, 103.849434501824]",Eating Establishment
15437,TAN CHONG WEE,210043,"[1.31536302699791, 103.849434501824]",Eating Establishment
15438,TAY YONG CHAI,190465,"[1.30512319499862, 103.86274639248]",Eating Establishment
15439,HILL STREET TAI HWA PORK NOODLE PTE LTD,190465,"[1.30512319499862, 103.86274639248]",Eating Establishment
15440,PECK SIEW MUI,190465,"[1.30512319499862, 103.86274639248]",Eating Establishment
15441,GAO PAN,190465,"[1.30512319499862, 103.86274639248]",Eating Establishment
15442,GAN HEE CHIN,190465,"[1.30512319499862, 103.86274639248]",Eating Establishment
15443,WONG AH FA,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15444,SAI SOONG HUT,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15445,GOH KUI HUAY,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15446,CLAIRE CHUA WAN JIN,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15447,3838 HOT&COLD BEVERAGE PTE. LTD.,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15448,LIM SIOK TING,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15449,TAN TAI LOKE,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15450,CHODEE FOOD HOLDINGS PTE. LTD.,188425,"[1.3014529932479, 103.854495182879]",Eating Establishment
15451,GUO CHANG FOOD PTE. LTD.,188425,"[1.3014529932479, 103.854495182879]",Eating Establishment
15452,TERESA WONG KUM LAN,188425,"[1.3014529932479, 103.854495182879]",Eating Establishment
15453,LOH KUI KENG,188425,"[1.3014529932479, 103.854495182879]",Eating Establishment
15454,WANG TAI FOO,188425,"[1.3014529932479, 103.854495182879]",Eating Establishment
15455,CHEONG LOK FOOD MARKETING PTE. LTD.,188425,"[1.3014529932479, 103.854495182879]",Eating Establishment
15456,KIMLY FOOD HOLDINGS PTE. LTD.,188425,"[1.3014529932479, 103.854495182879]",Eating Establishment
15457,NEW GREAT WALL RESTAURANT PTE. LTD.,090112,"[1.27452852560807, 103.825932928075]",Eating Establishment
15458,ONG BOON HUAT,090112,"[1.27452852560807, 103.825932928075]",Eating Establishment
15459,LI ZHONGLONG ANDY,090112,"[1.27452852560807, 103.825932928075]",Eating Establishment
15460,KOK CHEE KEONG,090112,"[1.27452852560807, 103.825932928075]",Eating Establishment
15461,TAN JWEE YONG,090112,"[1.27452852560807, 103.825932928075]",Eating Establishment
15462,QUEK SOO CHONG,089053,"[1.27183840111163, 103.842620055806]",Eating Establishment
15463,KALSOM BINTE ABDULLAH,089053,"[1.27183840111163, 103.842620055806]",Eating Establishment
15464,SU XIAOLING,089053,"[1.27183840111163, 103.842620055806]",Eating Establishment
15465,TAN CHONG GEE,089053,"[1.27183840111163, 103.842620055806]",Eating Establishment
15466,LIE YIN PING,090109,"[1.27392939929265, 103.825310761145]",Eating Establishment
15467,TEO SIEW LAN,090109,"[1.27392939929265, 103.825310761145]",Eating Establishment
15468,CHAN KOW NOI,090109,"[1.27392939929265, 103.825310761145]",Eating Establishment
15469,TAN SWEE HO,090109,"[1.27392939929265, 103.825310761145]",Eating Establishment
15470,GOH YEOW SENG,209555,"[1.30936634188485, 103.854396712331]",Eating Establishment
15471,HENG KAIWEI (WANG KAIWEI),180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15472,NG WAN TING (HUANG WANTING),180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15473,KWAN INN VEGETARIAN CUISINE PTE. LTD.,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15474,VICTORIOUS BRANDS PTE LTD,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15475,CHANG CHENG FOOD & BEVERAGE PTE. LTD.,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15476,TEO LIAM CHUAH,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15477,WONG AH KIT,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15478,LIM AH CHEONG,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15479,CHANG CHENG FOOD PARADISE PTE. LTD.,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15480,LIM YOKE THO,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15481,PHAM THI HIEN,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15482,HONG HOO RESTAURANT PTE. LTD.,180269,"[1.30048013687566, 103.85391368667]",Eating Establishment
15483,SRI DWI ASTUTI,099840,"[1.27499032586149, 103.824087249895]",Eating Establishment
15484,BEE GUIK CHENG,099840,"[1.27499032586149, 103.824087249895]",Eating Establishment
15485,TAN LAY HEONG,099840,"[1.27499032586149, 103.824087249895]",Eating Establishment
15486,GULL SHANJAN D/O SAKADAR KHAN,099840,"[1.27499032586149, 103.824087249895]",Eating Establishment
15487,THERESA EYO,099840,"[1.27499032586149, 103.824087249895]",Eating Establishment
15488,LIM LIAN PANG,099840,"[1.27499032586149, 103.824087249895]",Eating Establishment
15489,ANG GUAT BEE,099840,"[1.27499032586149, 103.824087249895]",Eating Establishment
15490,WONG SOU LENG MAGDALENE,099840,"[1.27499032586149, 103.824087249895]",Eating Establishment
15491,TAN SIAN HENG,150125,"[1.28593366735427, 103.802999737988]",Eating Establishment
15492,TAN CHECK MUI,150125,"[1.28593366735427, 103.802999737988]",Eating Establishment
15493,LEONG CHOUN SENG,160148,"[1.27688315064164, 103.830883904963]",Eating Establishment
15494,HUI KEIKI PTE LTD,160148,"[1.27688315064164, 103.830883904963]",Eating Establishment
15495,SONG GUECK LAN,160148,"[1.27688315064164, 103.830883904963]",Eating Establishment
15496,WONG SOH IN,160148,"[1.27688315064164, 103.830883904963]",Eating Establishment
15497,NG SUNG HOCK,190462,"[1.30458618029941, 103.860840750826]",Eating Establishment
15498,CHEONG LOK FOOD MARKETING PTE. LTD.,160146,"[1.27784876576774, 103.830811459909]",Eating Establishment
15499,SIMPLY DELIGHTFUL CUISINES PRIVATE LTD,160146,"[1.27784876576774, 103.830811459909]",Eating Establishment
15500,ZHU CONGQIN,180231,"[1.2970130586732, 103.853525790001]",Eating Establishment
15501,CHEN LIBING,180231,"[1.2970130586732, 103.853525790001]",Eating Establishment
15502,PARKLANE HOLDINGS PTE LTD,180231,"[1.2970130586732, 103.853525790001]",Eating Establishment
15503,GUAN LUANYING,180231,"[1.2970130586732, 103.853525790001]",Eating Establishment
15504,SHUANG RONG SEAFOOD HOLDING PTE. LTD.,180231,"[1.2970130586732, 103.853525790001]",Eating Establishment
15505,TAN SWEE ENG,150127,"[1.28532858968794, 103.803396774073]",Eating Establishment
15506,POH HOE SOON,150127,"[1.28532858968794, 103.803396774073]",Eating Establishment
15507,KHATIJAH BEE BINTE MOHAMED KASSIM,150127,"[1.28532858968794, 103.803396774073]",Eating Establishment
15508,KOH GEE LEE ANTHONY (XU YULI ANTHONY),150127,"[1.28532858968794, 103.803396774073]",Eating Establishment
15509,NORHASHIM BIN HASAN,089053,"[1.27183840111163, 103.842620055806]",Eating Establishment
15510,"LEE HUAT HENG, HENRY",089053,"[1.27183840111163, 103.842620055806]",Eating Establishment
15511,TAN CHEE GUAN DANNY,080007,"[1.27692435153003, 103.838679504443]",Eating Establishment
15512,YAN HAIYAN,080007,"[1.27692435153003, 103.838679504443]",Eating Establishment
15513,XU RONG,080007,"[1.27692435153003, 103.838679504443]",Eating Establishment
15514,TAN XUE LI,080007,"[1.27692435153003, 103.838679504443]",Eating Establishment
15515,TAY PECK YAN,080007,"[1.27692435153003, 103.838679504443]",Eating Establishment
15516,MUSAFAR AMMAL SEGU JAMALDEEN,080007,"[1.27692435153003, 103.838679504443]",Eating Establishment
15517,LIM TEIK SOON,080007,"[1.27692435153003, 103.838679504443]",Eating Establishment
15518,OEN SIEW LING,150161,"[1.28391229397444, 103.816006111441]",Eating Establishment
15519,LIM CHIN KWOK,150161,"[1.28391229397444, 103.816006111441]",Eating Establishment
15520,SUPARTI,150161,"[1.28391229397444, 103.816006111441]",Eating Establishment
15521,COFFEE EXPRESS 2000 PTE. LTD.,150165,"[1.28305589307332, 103.816692798132]",Eating Establishment
15522,SHAIK DAWOOD S/O SAMSU,150165,"[1.28305589307332, 103.816692798132]",Eating Establishment
15523,ROSNAH BINTE MAHFAR,150165,"[1.28305589307332, 103.816692798132]",Eating Establishment
15524,HAN CHAT CHAY,150165,"[1.28305589307332, 103.816692798132]",Eating Establishment
15525,WANG JIANGYONG,150164,"[1.28340675598635, 103.816756914621]",Eating Establishment
15526,LI ZHENMEI,150164,"[1.28340675598635, 103.816756914621]",Eating Establishment
15527,NEW RONG LIANG GE EATING HOUSE PTE. LTD.,090012,"[1.27718546024846, 103.819516181006]",Eating Establishment
15528,HONG XIN ECONOMIC RICE PTE. LTD.,090012,"[1.27718546024846, 103.819516181006]",Eating Establishment
15529,HAJJAH SITI HAWA BINTE ALI,090012,"[1.27718546024846, 103.819516181006]",Eating Establishment
15530,CHODEE FOOD HOLDINGS PTE. LTD.,090012,"[1.27718546024846, 103.819516181006]",Eating Establishment
15531,KWEI REN HUA,090012,"[1.27718546024846, 103.819516181006]",Eating Establishment
15532,CHANG CHENG FOOD & BEVERAGE PTE. LTD.,090012,"[1.27718546024846, 103.819516181006]",Eating Establishment
15533,ZHOU YANZHU,238863,"[1.3044637897474, 103.834005158524]",Eating Establishment
15534,LEONARD KWAN SIEW WAH,238863,"[1.3044637897474, 103.834005158524]",Eating Establishment
15535,LIN KEMING,238863,"[1.3044637897474, 103.834005158524]",Eating Establishment
15536,TING SENG KEE,238863,"[1.3044637897474, 103.834005158524]",Eating Establishment
15537,TAN CHONG HUAT,238863,"[1.3044637897474, 103.834005158524]",Eating Establishment
15538,STRONCOUR TRADING PTE. LTD.,191465,"[1.30522426727313, 103.863097963132]",Eating Establishment
15539,NG POH CHOY,191465,"[1.30522426727313, 103.863097963132]",Eating Establishment
15540,THE RICE BOWL (GOLD) PTE LTD,191465,"[1.30522426727313, 103.863097963132]",Eating Establishment
15541,JAYARAMAN MANOHARAN,099228,"[1.2697753327508, 103.814894414852]",Eating Establishment
15542,TAY ENG HEONG,081007,"[1.27712012183459, 103.843117743777]",Eating Establishment
15543,KEK WAN SHERN,081007,"[1.27712012183459, 103.843117743777]",Eating Establishment
15544,RAMADOSS SELVAKUMAR,081007,"[1.27712012183459, 103.843117743777]",Eating Establishment
15545,TEO LARRY,081007,"[1.27712012183459, 103.843117743777]",Eating Establishment
15546,HOLLIDAR BINTE RAHMAN,081007,"[1.27712012183459, 103.843117743777]",Eating Establishment
15547,LING CHUI MEE,089053,"[1.27183840111163, 103.842620055806]",Eating Establishment
15548,ANG CHOON SIN ERNEST,151119,"[1.28593893475633, 103.804715808324]",Eating Establishment
15549,HOME EATERY PTE. LTD.,210044,"[1.31551162976199, 103.850377879064]",Eating Establishment
15550,ER TONG HUA,210044,"[1.31551162976199, 103.850377879064]",Eating Establishment
15551,NASIAH BTE MARMIJAN,210044,"[1.31551162976199, 103.850377879064]",Eating Establishment
15552,GARDEN CUISINE PTE. LTD.,210046,"[1.31514019805556, 103.850798372212]",Eating Establishment
15553,PURE COFFEE HOUSE PTE. LTD.,210046,"[1.31514019805556, 103.850798372212]",Eating Establishment
15554,BOKHARA PTE. LTD.,210046,"[1.31514019805556, 103.850798372212]",Eating Establishment
15555,WONG CHEE MUN,210046,"[1.31514019805556, 103.850798372212]",Eating Establishment
15556,Hapsah Binte Tali,159924,"[1.29041262387806, 103.819794884313]",Eating Establishment
15557,PUA SIEW LIAN,159924,"[1.29041262387806, 103.819794884313]",Eating Establishment
15558,CHANG CHENG FOOD & BEVERAGE PTE. LTD.,180261,"[1.29878252408745, 103.852021668867]",Eating Establishment
15559,THE BLARNEY PTE. LTD.,180261,"[1.29878252408745, 103.852021668867]",Eating Establishment
15560,CHANG CHENG FOOD PARADISE PTE. LTD.,180261,"[1.29878252408745, 103.852021668867]",Eating Establishment
15561,LIN YONGXIONG,180261,"[1.29878252408745, 103.852021668867]",Eating Establishment
15562,LIN KONGHUA,180261,"[1.29878252408745, 103.852021668867]",Eating Establishment
15563,ZHENG QUANLE,180261,"[1.29878252408745, 103.852021668867]",Eating Establishment
15564,CHUN TAT KEE FOOD HOLDINGS PTE. LTD.,180261,"[1.29878252408745, 103.852021668867]",Eating Establishment
15565,ABU BAKAR BIN MOHD HANIF,180261,"[1.29878252408745, 103.852021668867]",Eating Establishment
15566,ABDUL AZEEZ HANEEF AHAMED,180261,"[1.29878252408745, 103.852021668867]",Eating Establishment
15567,Loy Pui Jong,180261,"[1.29878252408745, 103.852021668867]",Eating Establishment
15568,LIM KIM SENG @WONG YUEN MENG,159964,"[1.28859804100324, 103.799973882445]",Eating Establishment
15569,CHEN JIE,149597,"[1.3046115164699, 103.798218709389]",Eating Establishment
15570,GURU'S BANANA LEAF CUISINE PTE. LTD.,149597,"[1.3046115164699, 103.798218709389]",Eating Establishment
15571,FANG ZHIQIANG,149597,"[1.3046115164699, 103.798218709389]",Eating Establishment
15572,TEE CHOOI ENG,149597,"[1.3046115164699, 103.798218709389]",Eating Establishment
15573,LI CHANGYE,149597,"[1.3046115164699, 103.798218709389]",Eating Establishment
15574,SONG HUAT CATERING & SUPPLIER PTE LTD,149597,"[1.3046115164699, 103.798218709389]",Eating Establishment
15575,LIM KOK YONG,300001,"[1.32557113096136, 103.842493835321]",Eating Establishment
15576,AYE LI SHI,300001,"[1.32557113096136, 103.842493835321]",Eating Establishment
15577,JAINULLAH SEYED BEEVI,300001,"[1.32557113096136, 103.842493835321]",Eating Establishment
15578,THE PRATA & CURRY RESTAURANT PTE. LTD.,190018,"[1.3032741422611, 103.862614969484]",Eating Establishment
15579,ROSIDAH BINTE ABDUL RAHMAT,190018,"[1.3032741422611, 103.862614969484]",Eating Establishment
15580,MINAH BTE ALI,190018,"[1.3032741422611, 103.862614969484]",Eating Establishment
15581,MANEECHAI NATSAI,089053,"[1.27183840111163, 103.842620055806]",Eating Establishment
15582,SIOW GEK KEOW,089053,"[1.27183840111163, 103.842620055806]",Eating Establishment
15583,SEOW YONG KWEE,089053,"[1.27183840111163, 103.842620055806]",Eating Establishment
15584,CHAN LAI HONG,089053,"[1.27183840111163, 103.842620055806]",Eating Establishment
15585,ROSSITA BINTE MOHAMED KASSIM,089053,"[1.27183840111163, 103.842620055806]",Eating Establishment
15586,TAN KIN KIN,297822,"[1.3246487707627, 103.835551429266]",Eating Establishment
15587,SOH BEE GUAT,297822,"[1.3246487707627, 103.835551429266]",Eating Establishment
15588,ONG LAY CHOO,297822,"[1.3246487707627, 103.835551429266]",Eating Establishment
15589,TAN CHEE FATT,297822,"[1.3246487707627, 103.835551429266]",Eating Establishment
15590,Kee Meow Tiam,297822,"[1.3246487707627, 103.835551429266]",Eating Establishment
15591,NAZEEMA BANU MRS SEYED IBRAMSA NAZEEMA BANU,297822,"[1.3246487707627, 103.835551429266]",Eating Establishment
15592,SIM GEOK SANG,297822,"[1.3246487707627, 103.835551429266]",Eating Establishment
15593,SOH BEE LIN,297822,"[1.3246487707627, 103.835551429266]",Eating Establishment
15594,OH CHIN LENG,297822,"[1.3246487707627, 103.835551429266]",Eating Establishment
15595,HASMAH BINTE MATSAM,297822,"[1.3246487707627, 103.835551429266]",Eating Establishment
15596,AHMAD NACHIA BINTE MOHD HUSSIAN,082001,"[1.2756261981348, 103.84295049169]",Eating Establishment
15597,LIM TECK HOON,082001,"[1.2756261981348, 103.84295049169]",Eating Establishment
15598,WOO YANG JUN DAVEED,082001,"[1.2756261981348, 103.84295049169]",Eating Establishment
15599,LEE FOOK LOY,082001,"[1.2756261981348, 103.84295049169]",Eating Establishment
15600,LENG SIOK FUN,082001,"[1.2756261981348, 103.84295049169]",Eating Establishment
15601,KOU JUNYAN,169073,"[1.2871567528867, 103.834554214527]",Eating Establishment
15602,TIFFANY TOH JIA WEN,169073,"[1.2871567528867, 103.834554214527]",Eating Establishment
15603,TEO AH CHYE,169073,"[1.2871567528867, 103.834554214527]",Eating Establishment
15604,SITI ROYIAH BINTE KASSAN,169073,"[1.2871567528867, 103.834554214527]",Eating Establishment
15605,LOH YOUN SIN,148800,"[1.2935332938077, 103.81317546974]",Eating Establishment
15606,SARIMAH BTE SABINTONO,148800,"[1.2935332938077, 103.81317546974]",Eating Establishment
15607,YEO LAY HUAY,148800,"[1.2935332938077, 103.81317546974]",Eating Establishment
15608,NURAENI WAWAN,148800,"[1.2935332938077, 103.81317546974]",Eating Establishment
15609,WONG PENG KHUAN,148800,"[1.2935332938077, 103.81317546974]",Eating Establishment
15610,TAN LAY HOON,148800,"[1.2935332938077, 103.81317546974]",Eating Establishment
15611,NORMAH BINTE KARATA,148800,"[1.2935332938077, 103.81317546974]",Eating Establishment
15612,TAY POH CHOO,148800,"[1.2935332938077, 103.81317546974]",Eating Establishment
15613,SIN KEE KITCHEN PTE. LTD.,270040,"[1.30717590843196, 103.793500328714]",Eating Establishment
15614,CHANG CHENG FOOD & BEVERAGE PTE. LTD.,270040,"[1.30717590843196, 103.793500328714]",Eating Establishment
15615,LENG SIOK FUN,270040,"[1.30717590843196, 103.793500328714]",Eating Establishment
15616,KOH POO SING,270040,"[1.30717590843196, 103.793500328714]",Eating Establishment
15617,CHANG CHENG FOOD PARADISE PTE. LTD.,270040,"[1.30717590843196, 103.793500328714]",Eating Establishment
15618,MEI SHI YUEN PTE LTD,190010,"[1.3055523404779, 103.863562821016]",Eating Establishment
15619,LEE SOW FOONG,190010,"[1.3055523404779, 103.863562821016]",Eating Establishment
15620,FOO KIA JONG,190010,"[1.3055523404779, 103.863562821016]",Eating Establishment
15621,SHI TING CHOW,190010,"[1.3055523404779, 103.863562821016]",Eating Establishment
15622,TAN TECK BOON,190010,"[1.3055523404779, 103.863562821016]",Eating Establishment
15623,LIM SOON CHYE,190010,"[1.3055523404779, 103.863562821016]",Eating Establishment
15624,YE JINNING,190010,"[1.3055523404779, 103.863562821016]",Eating Establishment
15625,TRINH THI TRUC PHUONG,190017,"[1.30368952030975, 103.863575539303]",Eating Establishment
15626,JAHABAR SADIQ S/O MOHD SHAREEF,190017,"[1.30368952030975, 103.863575539303]",Eating Establishment
15627,CHIN KWAI FONG,190017,"[1.30368952030975, 103.863575539303]",Eating Establishment
15628,HOME EATERY PTE. LTD.,190017,"[1.30368952030975, 103.863575539303]",Eating Establishment
15629,FU YUAN FAMILY CUISINE PTE. LTD.,160131,"[1.28018941877784, 103.828178444795]",Eating Establishment
15630,GOURMET STREET (210) PTE. LTD.,160131,"[1.28018941877784, 103.828178444795]",Eating Establishment
15631,HAO JU HOLDING PTE. LTD.,160132,"[1.27873808127932, 103.828304288385]",Eating Establishment
15632,CHEN XUEYOU,160132,"[1.27873808127932, 103.828304288385]",Eating Establishment
15633,FOOD DISTRICT PTE. LTD.,160132,"[1.27873808127932, 103.828304288385]",Eating Establishment
15634,WANG HUIDAN,160132,"[1.27873808127932, 103.828304288385]",Eating Establishment
15635,YONG LI F&B PTE. LTD.,050034,"[1.2862352148315, 103.842303340846]",Eating Establishment
15636,DIONG HUEY SY,050034,"[1.2862352148315, 103.842303340846]",Eating Establishment
15637,YE CHANGKUI,050034,"[1.2862352148315, 103.842303340846]",Eating Establishment
15638,CHEW LANG GEK,050034,"[1.2862352148315, 103.842303340846]",Eating Establishment
15639,LEE MEI CHIN (LU MEIJUN),050034,"[1.2862352148315, 103.842303340846]",Eating Establishment
15640,AKSHAYA STEELS PTE. LTD.,050034,"[1.2862352148315, 103.842303340846]",Eating Establishment
15641,ZAITON BTE HAMZAH,050034,"[1.2862352148315, 103.842303340846]",Eating Establishment
15642,F&B EMPIRES PTE. LTD.,150002,"[1.2866292132996, 103.80686187976]",Eating Establishment
15643,HAMIDAH BINTE AHMAD,150002,"[1.2866292132996, 103.80686187976]",Eating Establishment
15644,ZHOU YONG,150002,"[1.2866292132996, 103.80686187976]",Eating Establishment
15645,LEE BEE HUA,150002,"[1.2866292132996, 103.80686187976]",Eating Establishment
15646,LOK SIEW LONG,150002,"[1.2866292132996, 103.80686187976]",Eating Establishment
15647,ong beng hock,270043,"[1.30743411126247, 103.792897574712]",Eating Establishment
15648,XIAO JIANCAI,270043,"[1.30743411126247, 103.792897574712]",Eating Establishment
15649,ZHANG SHUTING,270043,"[1.30743411126247, 103.792897574712]",Eating Establishment
15650,CS93 RESTAURANT PTE. LTD.,270043,"[1.30743411126247, 103.792897574712]",Eating Establishment
15651,EL ROI FOOD PTE. LTD.,270043,"[1.30743411126247, 103.792897574712]",Eating Establishment
15652,CHANG CHENG FOOD & BEVERAGE PTE. LTD.,270046,"[1.30878949399241, 103.792695569227]",Eating Establishment
15653,CTK F&B HOLDINGS PTE LTD,270046,"[1.30878949399241, 103.792695569227]",Eating Establishment
15654,LEE JOCK CHYE,270046,"[1.30878949399241, 103.792695569227]",Eating Establishment
15655,CHUN TAT KEE FOOD HOLDINGS PTE. LTD.,270046,"[1.30878949399241, 103.792695569227]",Eating Establishment
15656,SIM ENG HWA,208804,"[1.30473699713513, 103.854663976766]",Eating Establishment
15657,SHING BOON HWA PTE. LTD.,208804,"[1.30473699713513, 103.854663976766]",Eating Establishment
15658,HO GEOK TIN,208804,"[1.30473699713513, 103.854663976766]",Eating Establishment
15659,ONG SIANG HOO,208804,"[1.30473699713513, 103.854663976766]",Eating Establishment
15660,CHEONG LOK FOOD MARKETING PTE. LTD.,050034,"[1.2862352148315, 103.842303340846]",Eating Establishment
15661,JINLI RESTAURANT PTE. LTD.,050034,"[1.2862352148315, 103.842303340846]",Eating Establishment
15662,Malathi D/O Vadaivelu,050034,"[1.2862352148315, 103.842303340846]",Eating Establishment
15663,KANG SHI FU TRADING LIMITED LIABILITY PARTNERSHIP,050034,"[1.2862352148315, 103.842303340846]",Eating Establishment
15664,PURE COFFEE HOUSE PTE. LTD.,090010,"[1.27773153190559, 103.819769431353]",Eating Establishment
15665,TAN MEI LAN,090010,"[1.27773153190559, 103.819769431353]",Eating Establishment
15666,TAN POH PENG,090010,"[1.27773153190559, 103.819769431353]",Eating Establishment
15667,LOW MEI CHUN,090010,"[1.27773153190559, 103.819769431353]",Eating Establishment
15668,BACKSTUBE PTE LTD,050005,"[1.28119737026913, 103.843437320613]",Eating Establishment
15669,DIAMOND WANG LAO WU PTE. LTD.,050005,"[1.28119737026913, 103.843437320613]",Eating Establishment
15670,GOH BENG HWEE,271006,"[1.30711568626095, 103.795264617136]",Eating Establishment
15671,LEONG WAI,271006,"[1.30711568626095, 103.795264617136]",Eating Establishment
15672,MUHHAMAD IZWAN BIN MAZELAN,270031,"[1.30697526832762, 103.797080329252]",Eating Establishment
15673,LEONG POH YEE,270031,"[1.30697526832762, 103.797080329252]",Eating Establishment
15674,LO FONG HAR,270031,"[1.30697526832762, 103.797080329252]",Eating Establishment
15675,DANNY LEOW ENG HUA,151116,"[1.28513427067055, 103.821532226321]",Eating Establishment
15676,SEOW YOKE ENG,151116,"[1.28513427067055, 103.821532226321]",Eating Establishment
15677,GOH SIM HUAY (WU XINHUI),151116,"[1.28513427067055, 103.821532226321]",Eating Establishment
15678,YUE TAT LOONG,151116,"[1.28513427067055, 103.821532226321]",Eating Establishment
15679,GUAN SHUQIONG,150080,"[1.28780725542023, 103.818781986583]",Eating Establishment
15680,LINA,150080,"[1.28780725542023, 103.818781986583]",Eating Establishment
15681,LENG SIOK FUN,150080,"[1.28780725542023, 103.818781986583]",Eating Establishment
15682,GOO TENG MING,150080,"[1.28780725542023, 103.818781986583]",Eating Establishment
15683,MOHAMAD KAMAL HAJA MOHIDEEN,150080,"[1.28780725542023, 103.818781986583]",Eating Establishment
15684,TEN TEN LIVE PTE. LTD.,150080,"[1.28780725542023, 103.818781986583]",Eating Establishment
15685,WONG LEONG QUAN @ WONG LEONG KHUN,089114,"[1.27945453914052, 103.841624505586]",Eating Establishment
15686,RASIDA BTE AHMAD,141049,"[1.29750644501066, 103.802257197297]",Eating Establishment
15687,E C 936 FOOD VILLAGE PTE LTD,190001,"[1.3036713506088, 103.864478660925]",Eating Establishment
15688,QUACH THI PHUONG TRINH,190001,"[1.3036713506088, 103.864478660925]",Eating Establishment
15689,ZAKARIA BIN BUHARI,190001,"[1.3036713506088, 103.864478660925]",Eating Establishment
